confounder,n_false_positives,n_events,fp_rate,share_of_alert_budget
(none - ordinary benign),222,124056,0.0017895144128458117,0.16920731707317074
ci_automation_burst,169,1293,0.13070378963650425,0.1288109756097561
cert_retry_loop,137,480,0.28541666666666665,0.10442073170731707
shared_jump_host,21,921,0.02280130293159609,0.01600609756097561
business_travel,10,267,0.03745318352059925,0.007621951219512195
password_reset_storm,6,216,0.027777777777777776,0.004573170731707317
device_refresh,2,636,0.0031446540880503146,0.001524390243902439
maintenance_window,2,436,0.0045871559633027525,0.001524390243902439
office_nat,1,765,0.00130718954248366,0.0007621951219512195
credential_rotation,1,209,0.004784688995215311,0.0007621951219512195
